Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,BB_HIGH,BB_LOW,Target
2021-04-26,878.6817626953125,889.6321696188024,866.7338471259807,870.5880540621903,20846778,890.6543353368421,907.7582973013956,42.90808882999422,-17.42333213041411,-15.93211053315622,933.6560873754896,849.489554714354,1
2021-04-27,901.7161254882812,905.5929405224553,878.8631979839778,879.6566953316482,19992524,891.7078391607887,907.5213493871556,51.28249361312427,-14.35453532268184,-15.616595491061345,929.1608067503926,851.3254664429669,1
2021-04-28,905.63818359375,910.4898988549594,897.8618863960234,905.8875907227454,17122437,893.0345386305945,907.4474997481988,52.55852127456473,-11.473752159233982,-14.788026824695873,929.4838416662658,851.2676842126405,1
2021-04-29,917.767578125,927.0402589004968,910.1726236848529,917.2460958998796,17412606,895.3900662014903,907.8522087041516,56.36497093147143,-8.118386274732302,-13.45409871470316,931.516811521167,850.5678076194579,0
2021-04-30,904.3687133789062,923.18609083077,901.2173918419056,910.7167522740972,19828769,896.2451754564823,907.715601044338,51.45371905332722,-6.465876444400919,-12.056454260642711,929.0062245074045,851.5004649457206,0
2021-05-03,888.2944946289062,897.3404357451366,881.0622873144365,891.4458158814281,23640186,895.487967758618,906.9539890280466,46.24755065446517,-6.379763669133922,-10.921116142340956,927.1183286601988,851.3909975116761,0
2021-05-04,869.0462646484375,892.2619961748394,866.507097421783,884.1908961551087,21849830,892.9697103195532,905.4674116013954,40.90962470837419,-7.775063873060503,-10.291905688484864,923.490046333158,850.2469104539515,1
2021-05-05,870.6334228515625,878.976538945821,865.1695531457119,872.1070779189138,12393609,890.8424448464112,904.101372826892,41.50912039486421,-8.653032166222943,-9.96413098403248,921.662110471214,848.7874683862079,1
2021-05-06,875.5757446289062,877.3894784194164,864.5119984908221,871.4268548191382,14624666,889.388473397125,902.9827207406964,43.433642959359375,-8.848029722317392,-9.740910731689464,920.048299630566,847.9844823518558,1
2021-05-07,875.9158935546875,886.7529013481309,873.308662266205,878.6364644741296,12288548,888.1053705549881,901.9212765373236,43.57125549979529,-8.87283895056487,-9.567296375464544,916.8209566358538,847.9879361864117,0
2021-05-10,873.3992309570312,882.7399146478764,871.0187391792962,879.2031788665513,13941237,886.7047858313732,900.8027649459395,42.7427360743858,-8.991920815807475,-9.452221263533133,912.9099163042684,848.3100605023723,1
2021-05-11,876.5505981445312,878.9990936540107,866.05361064843,868.3208227406878,13478264,885.7377203373882,899.8516995811785,44.174250988874974,-8.7313554267148,-9.308048096169465,910.7430682923824,848.2596233580083,0
2021-05-12,867.4819946289062,876.4372641804301,864.6934200952072,875.1676804843173,13177961,883.9990797937232,898.5822993869718,40.99773368589448,-9.151127491473176,-9.276663975230209,910.7157832144692,848.3776005745934,1
2021-05-14,878.432373046875,880.5634577549068,864.2399737584975,874.2380874670803,13291616,883.4689172464043,897.7921061971641,46.04320320195509,-8.502187924919099,-9.121768765167984,910.8016687182246,848.5410986157597,1
2021-05-17,888.8839721679688,890.2895633789483,875.3036666921718,878.4323799585411,11873078,883.9846367627438,897.4427676077839,50.40263415945222,-7.0631226602674815,-8.710039544187886,911.4166353454308,848.6538907776162,1
2021-05-18,901.398681640625,908.0414631541172,894.3931533556103,898.2473602910601,12064918,885.643117227304,897.5979014914249,55.0823880600058,-4.85683404586689,-7.939398444523687,913.9590728929452,848.6438628980704,1
2021-05-19,905.52490234375,914.3214965481936,894.1664727852633,897.7938805270868,16317002,887.5366205717274,897.9087642699475,56.53846988471371,-2.743754601903561,-6.900269675999662,916.5221833002912,850.4042205083024,0
2021-05-20,900.2424926757812,911.8049942540358,898.247415294268,905.9103738478552,11422532,888.7467036292564,898.0002830309605,54.11973060800688,-1.4783289757087914,-5.815881535941489,917.6661311833984,853.0804386408204,1
2021-05-21,908.018798828125,911.2154560407944,900.5145161905418,903.235087003718,10785605,890.582141267244,898.3931660033984,57.03378753991103,0.1502805267756457,-4.6226491233980616,919.7802874004788,855.3260236346774,0
2021-05-24,900.355712890625,911.3061190300916,898.700714595752,910.4898938764024,8551760,891.5129576123279,898.4701286264269,53.43222965590481,0.8132437314085337,-3.5354705524367427,920.088214549824,858.7044795419729,0
2021-05-25,890.1536254882812,905.50227013301,888.7253062731775,905.230195052024,14780102,891.3834974100378,898.1439912484605,48.99623586541266,0.509549882641636,-2.7264664654210677,920.2656317123268,859.6742486587668,1
2021-05-26,893.2822875976562,897.5672452840586,891.1285347593667,895.5267721091835,7480204,891.5643345707633,897.9533362033309,50.357357172522654,0.5153861536416571,-2.0780959416085225,919.409885622425,859.6866109596062,1
2021-05-27,896.0255126953125,903.688470513556,889.7454781714291,893.395613685115,26819294,891.9892086778632,897.8777352814478,51.577550991244046,0.7329181554787283,-1.5158931221910723,918.1778730224815,859.9573564697059,1
2021-05-28,949.8478393554688,954.472815743996,902.3282518740784,902.3282518740784,56469931,897.4995544566827,899.9157785784683,68.12948418350273,5.188515803249857,-0.1750113371028867,928.2379061225496,853.1053494926848,1
2021-05-31,979.547607421875,993.7853440323876,945.4269209884944,953.1125474236036,59124142,905.313654739082,903.0385953958568,73.51036344613063,10.989452543373543,2.0578814389924,948.2541038430874,840.6070411764439,1
2021-06-01,983.447021484375,998.4555855632798,973.290112651038,982.1320420491826,28013832,912.7549277624432,906.1918670071713,74.12798909007337,15.720174443973292,4.790340039988578,965.3976229459196,832.9787747591586,1
2021-06-02,998.1155395507812,1001.8563467317178,978.0511883191928,978.0511883191928,24630162,920.8845098375232,909.7967169108424,76.3608080770005,20.41757139767253,7.91578631152537,983.0542944451222,828.2290307501903,1
2021-06-03,1001.9243774414062,1020.220331233519,995.7804103170116,1007.0707759680464,23974257,928.6025924664644,913.4095663434134,76.91785330709497,24.169028199991885,11.166434689218674,998.3995934113084,826.0128272429885,0
2021-06-04,993.2412109375,1005.007723278059,990.4072405064372,1004.2595618006808,14468646,934.7586513684676,916.5402190725932,72.71126640444656,26.140098985543204,14.16116754848358,1009.390216001122,826.7887512840341,1
2021-06-07,1009.9727783203124,1016.5928919877746,990.7473191357552,998.4556731308024,16336573,941.9219015543576,920.2042410038764,75.4925427675906,28.721204275580703,17.073174893903005,1022.2032968405338,827.381358921185,0
2021-06-08,1004.1688842773438,1009.8594330639162,996.7099374722952,1009.6100858849402,9674735,947.8501856232136,923.4969721126398,72.72366335031896,29.953141895110207,19.649168294144445,1031.5793382675151,831.0822828262349,0
2021-06-09,986.2129516601562,1007.0707400246994,978.4819302316135,1006.1639031267836,11409161,951.5037823886366,925.9564222909738,64.80451580792148,29.14460675126088,21.54825598556773,1036.4720665799252,837.1557898653874,1
2021-06-10,989.8404541015624,1011.1517216348074,987.3692305170946,994.5561020859404,14155653,955.154893980344,928.4616784404088,65.61904206629029,28.4683801894256,22.93228082633931,1039.797777615123,846.065924777455,1
2021-06-11,1007.0098266601562,1013.7668141971928,991.9716855769274,993.2457554895082,13762778,960.0934589974688,931.541997978438,69.24681159443688,28.98378362640051,24.142581386351548,1045.313039830256,853.4084079236502,1
2021-06-14,1021.4566040039062,1027.5310032039945,998.7742213753507,1007.8517599235836,20332436,965.937568045701,935.068060959829,71.93064405715072,30.209739684199576,25.35601304592116,1052.628724239895,859.3499866976049,1
2021-06-15,1023.777099609375,1035.1068867541692,1019.363468899092,1028.7822714120728,15174215,971.446094861289,938.546846789223,72.34807541518882,31.01108678992921,26.487027794722767,1059.63986172277,864.5766910116051,0
2021-06-16,1006.3045654296876,1022.434740881434,1003.6882448935254,1021.456501659872,10797349,974.7659492011364,941.204012226104,64.56246675988803,29.891699752563568,27.16796218629093,1062.861268356451,871.4332506865177,1
2021-06-17,1008.1473999023438,1016.9519142263862,991.8807422543712,1001.0264608448158,15745975,977.945134982204,943.8292431153684,64.99039204362171,28.821047703983936,27.49857928982953,1064.660307364954,880.4247024006712,1
2021-06-18,1012.697509765625,1016.9519117351164,993.9055193524756,1012.6292689125116,29369026,981.2548849615772,946.529959454594,66.07953891748497,28.016744490298947,27.60221232992341,1066.466554668676,889.0863261906989,1
2021-06-21,1017.9755859375,1022.6394327555988,1001.0947014517697,1002.6189877915084,12186448,984.752094578332,949.3317487284336,67.34847887828211,27.48835637374043,27.579441138686818,1066.434196930945,900.8806712331174,0
2021-06-22,1012.7429809570312,1028.7822288722175,1009.830889872548,1025.597054027167,12871913,987.4178932810652,951.8184637177902,64.76189907181819,26.3437036757299,27.332293646095437,1061.3572332093136,918.216570501624,0
2021-06-23,1003.4608154296876,1024.0500559302593,1001.799987098414,1023.777092514532,16653951,988.945790628553,953.843653981002,60.33515355832247,24.40622521014177,26.747079958904703,1051.6490563535774,938.9426001405632,0
2021-06-24,979.8684692382812,1007.6696977965144,973.7258293406423,1004.1433786288184,91461975,988.0812838294796,954.8642349714836,50.82571302003327,20.728113608327817,25.54328668878933,1033.8692424216565,965.1067097267808,0
2021-06-25,957.5499877929688,979.868355835384,946.9254774381874,979.868355835384,55355022,985.1735413498118,954.9695586115416,43.79377379844597,15.829792738239917,23.600587898679443,1032.1284486664392,967.617718325748,0
2021-06-28,949.1550903320312,967.5830690553375,946.880034202098,965.535542609245,20277042,981.7432126814516,954.7415402476394,41.46965923257521,11.142002028458135,21.10887072463518,1036.602764849851,960.1041504333524,1
2021-06-29,949.97412109375,959.6203929887992,948.2906059997632,950.7476377872767,27144063,978.7175849111944,954.5545826337614,41.7942086701309,7.407592934510262,18.3686151666102,1039.986588356193,953.373036887948,1
2021-06-30,960.3711547851562,965.8312654969786,951.4529057551116,953.8189497184268,19762858,976.9703058515717,954.7826835024435,45.89555703458492,5.22674983133561,15.74024209955528,1040.884695777725,948.7004909898532,0
2021-07-01,954.592529296875,966.0587979305756,953.2502184775108,963.715500911565,12534407,974.8390890368388,954.7752264747744,44.038222952451655,2.9975749983718742,13.1917086793186,1041.5698248647664,943.2821770883586,1
2021-07-02,968.7432861328124,970.4951021153942,952.3173409366495,954.1601447164786,14086620,974.2585363793124,955.3229935201877,49.43471616294252,2.345745403920887,11.022516024239058,1041.4122113381093,940.989998134547,1
2021-07-05,978.3668212890624,979.8911076185376,969.8580780772136,972.1103871470752,11702287,974.6498016088124,956.2266730405356,52.7703223586014,2.5760099745343723,9.333214814298122,1039.3564528689994,939.885160900532,0
2021-07-06,966.8095092773438,977.7752841489312,964.7164890232146,975.9780344174736,10070124,973.9031071010534,956.6416862262928,48.62209215961044,1.805109634626888,7.827593778363876,1037.966571326074,937.5391049434572,0
2021-07-07,960.0980834960938,968.15182763501,954.6152261057076,968.15182763501,10454892,972.5883429482,956.7772312172656,46.34381017768089,0.6451724440624957,6.3911095115036,1038.0908937577117,934.8032956954132,0
2021-07-08,952.1581420898438,963.2377120648708,946.880007204719,963.2377120648708,11185460,970.6426095331186,956.5960904671704,43.7330283903892,-0.9043482868676164,4.932017951829357,1038.2819319173266,930.8440263346266,0
2021-07-09,942.4209594726562,951.7487141684176,940.1004093189324,950.0651388442452,9037675,967.954833336884,956.0402029771896,40.70456286733231,-2.884809600655558,3.368652441332374,1036.9970466386374,925.6700248945658,1
2021-07-12,948.2905883789062,956.2077909534228,943.9224517127792,946.3112426024384,8585292,966.082048102791,955.7362965223548,43.25549501356453,-3.935345251692752,1.907852902727349,1031.9088863250408,923.4415836456624,1
2021-07-13,955.3887329101562,956.9130192420056,950.087790995972,955.525214607773,6717133,965.0636371320638,955.7226665767784,46.26604154091056,-4.14733350284223,0.6968156216134334,1024.9389548841689,923.5726784166123,0
2021-07-14,949.1550903320312,958.6420731903104,946.9937689554592,955.6844881859736,8532544,963.5485374368228,955.4651145671804,44.055477083674525,-4.763428737150662,-0.3952332501393856,1020.9634990928104,921.833186698205,0
2021-07-15,947.4943237304688,953.2502049164672,945.7425076403308,953.2502049164672,9448356,962.0195647028844,955.1525345343684,43.45970655268378,-5.324323151195927,-1.381051230350694,1015.94823358216,920.783144591668,1
2021-07-16,961.1674194335938,962.2367066615388,949.8831264283724,949.951367281346,8828185,961.9384080105708,955.3884123735538,49.51312297658757,-4.612363013219351,-2.027313586924425,1008.857107561888,922.721261578737,0
2021-07-19,955.0474853515624,966.4455126172754,951.9989126340372,955.525231478772,8354449,961.282129662094,955.3750426864168,47.08330358299131,-4.49019681464506,-2.519890232468552,998.6099764746732,926.675582607358,0
2021-07-20,952.7041625976562,959.1653798198788,948.245098287798,955.2977362314512,6741464,960.4651804178618,955.2703022907792,46.14942583989237,-4.5302439520891085,-2.9219609763926635,987.485799444152,931.7958778019416,1
2021-07-22,964.9440307617188,966.4000763573124,954.6835309155986,964.1705140611996,7972397,960.8917375934672,955.6496641916004,51.55454699234843,-3.5335934631858663,-3.044287473751304,977.2622015429572,938.1677972363398,0
2021-07-23,958.1187744140624,971.200376447822,956.4579462312084,971.200376447822,9937030,960.6276458620954,955.7464920434618,48.62371996959419,-3.256937962995835,-3.08681757160021,973.3379898469484,939.9170394499264,0
2021-07-26,944.9917602539062,965.0805075916204,942.3754396207584,959.1653976108204,12389668,959.1385138994108,955.324737855636,43.50149061907739,-4.050238196842201,-3.279501696648609,973.451561766058,938.5476447769108,0
2021-07-27,935.0496826171876,948.1085383406383,929.1345728588084,944.9689777697636,10824523,956.84433949158,954.5296376502068,40.0594813116911,-5.418713368775343,-3.707344031073956,974.8133388449832,935.7753269265012,0
2021-07-28,927.0187377929688,936.414732655119,917.4179602018662,936.414732655119,12897848,954.0038059964742,953.450778832276,37.47972617284275,-7.069773978133298,-4.379830020485825,977.1674894683744,931.125637973032,1
2021-07-29,934.25341796875,943.8769425785124,929.7715466212894,934.5946824013536,13765738,952.1228166605003,952.6979411513532,41.156038857400524,-7.705647273686054,-5.044993471125871,977.223867879287,928.4574858804788,0
2021-07-30,926.0859985351562,940.9421040230186,924.1748936428288,936.4147387774316,11350608,949.643119696182,951.6543355585612,38.410121527462834,-8.76755699255466,-5.789506175411629,978.4146567336376,924.416043949956,1
2021-08-02,943.012451171875,946.1520117827724,928.7478263645152,934.7312372274596,10925104,949.0116274557716,951.3154381316324,46.39270642177232,-8.149364032129029,-6.261477746755109,976.1367315807762,924.1208856067238,1
2021-08-03,949.9513549804688,951.430147484226,939.2358562430207,950.9751482931742,11817299,949.1011253152666,951.261944674724,49.29407250569579,-7.018623784589749,-6.412906954322037,971.266113578667,926.1499569779736,1
2021-08-04,957.2315673828124,961.8954143261994,949.6100753022612,952.9771655453944,13169800,949.8754531312234,951.4960475260216,52.21618755908248,-5.471974182090435,-6.224720399875717,969.605456262604,926.8528201045834,1
