Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,BB_HIGH,BB_LOW,Trend_Regime,BB_Width,BB_Width_Avg,Volatility_Regime,Volume_Avg,Volume_Regime
2023-06-26,1139.210205078125,1148.271658359126,1136.0832218598148,1144.437098137329,12641159,1147.536444294051,1127.848546968337,48.492016214010405,9.679477198665154,11.953790152353992,1180.1922324230095,1113.723832030115,Bullish,66.46840039289441,57.27679977489796,High,11498950.8,High
2023-06-27,1139.62109375,1145.578264166708,1135.1474200849475,1139.666736088607,9689466,1146.7826013850938,1128.310215469579,48.69851793296096,7.917453891164087,11.146522900116013,1179.7657426133133,1113.0775679335616,Bullish,66.68817467975168,57.96180167437832,High,11416298.9,Normal
2023-06-28,1154.708251953125,1158.519990797568,1140.2600374666351,1147.1760589375283,11354006,1147.537425248716,1129.3454325865805,55.71854746110004,7.650257892759555,10.447269898644722,1180.1326128940452,1115.4314251918925,Bullish,64.70118770215277,58.72690011611437,High,10628602.85,High
2023-06-30,1164.1805419921875,1167.1021346662303,1156.511421596289,1162.423070452648,11151555,1149.1224839861893,1130.7115153083691,59.46856448472653,8.109358149059972,9.979687548727773,1181.006150524329,1118.529420764733,Bullish,62.47672975959608,59.41480033411167,High,10456546.0,High
2023-07-03,1194.058349609375,1196.934300105854,1166.5087289327182,1167.7413136446191,12154387,1153.4020902360164,1133.1957048888007,68.52335227978185,10.7600525968312,10.135760558348458,1187.291877188554,1119.5704885341022,Bullish,67.72138865445186,60.41374612002138,High,10274233.15,High
2023-07-04,1181.7557373046875,1198.3037415268395,1174.6799673322105,1198.3037415268395,8061643,1156.1024375758898,1135.1000198855022,62.34696003605689,11.732780853863916,10.455164617451551,1190.315203293893,1121.6371038350132,Bullish,68.67809945887984,61.45620518080726,High,10131881.2,Normal
2023-07-05,1179.8155517578125,1190.9997357239995,1175.8440646341217,1190.9997357239995,10248062,1158.3608294027397,1136.8535701550047,61.40692459986247,12.206410346616169,10.805413763284474,1192.3326181498437,1124.4197622212505,Bullish,67.91285592859322,62.46072897780448,High,10269618.85,Normal
2023-07-06,1204.5804443359375,1207.1824197013011,1175.958111582341,1175.958111582341,19117987,1162.7626974916154,1139.5095260052374,68.03239742354256,14.413930179402088,11.527117046507998,1199.9801622890084,1123.1905530430229,Bullish,76.7896092459855,63.90173502951215,High,10709890.95,High
2023-07-07,1202.2294921875,1216.5406584496827,1199.6730384312104,1202.8686056265724,13375267,1166.5214398436044,1141.9691325221888,66.85896213631763,15.791666855021276,12.380027008210654,1205.668106498572,1123.6173793412715,Bullish,82.05072715730034,65.54160538728556,High,10775098.85,High
2023-07-10,1248.541015625,1258.1046546175523,1221.1284462814797,1227.4736968882496,33240016,1174.3328280132612,1146.1484220556326,75.737012500089,20.385494702956294,13.981120547159785,1222.928185375628,1117.911231128278,Bullish,105.01695424734999,68.33470559684625,High,12143248.75,High
2023-07-11,1262.0760498046875,1264.495455649915,1249.7050458386786,1256.6894093813987,20069348,1182.6893253267303,1150.694603535988,77.62367907065459,24.832052071621547,16.151306852052137,1240.1328146944893,1113.5136086453545,Bullish,126.61920604913485,72.22165225132308,High,12827117.7,High
